il,yil,tarim,sanayi,hizmetler,sektör toplam,vergi-sübvansiyon,gdp
Turkiye,2004,    54 365 145,    145 005 909,    304 887 404,    504 258 457,    72 765 040,    577 023 497
,2005,    62 349 598,    170 459 652,    355 501 121,    588 310 371,    85 392 571,    673 702 943
,2006,    64 415 593,    206 057 740,    419 780 984,    690 254 317,    98 973 238,    789 227 555
,2007,    66 197 107,    232 941 255,    481 118 335,    780 256 698,    100 204 181,    880 460 879
,2008,    74 451 345,    260 996 668,    550 190 966,    885 638 980,    109 143 879,    994 782 858
,2009,    81 234 274,    240 365 442,    569 482 714,    891 082 431,    108 109 417,    999 191 848
,2010,    104 703 635,    285 383 871,    629 823 047,   1 019 910 553,    140 103 425,   1 160 013 978
,2011,    114 838 169,    375 613 697,    736 243 999,   1 226 695 865,    167 781 301,   1 394 477 166
,2012,    121 692 893,    420 266 164,    843 453 712,   1 385 412 768,    184 259 347,   1 569 672 115
,2013,    121 709 079,    501 220 607,    962 395 396,   1 585 325 082,    224 388 005,   1 809 713 087
,2014,    134 724 745,    576 440 635,   1 097 024 575,   1 808 189 955,    236 275 921,   2 044 465 876
,2015,    161 447 917,    652 582 965,   1 246 695 908,   2 060 726 790,    277 920 704,   2 338 647 494
,2016,    161 304 618,    735 168 540,   1 402 423 306,   2 298 896 464,    309 629 285,   2 608 525 749
,2017,    189 000 175,    905 819 274,   1 657 822 396,   2 752 641 846,    353 894 906,   3 106 536 751
,,,,,,,
Istanbul,2004,     530 330,    47 066 568,    103 603 732,    151 200 630,    21 818 414,    173 019 044
,2005,     601 554,    54 203 103,    120 996 325,    175 800 982,    25 517 310,    201 318 292
,2006,     566 282,    65 537 887,    141 228 209,    207 332 377,    29 728 690,    237 061 067
,2007,     526 371,    72 544 754,    163 148 997,    236 220 122,    30 336 483,    266 556 605
,2008,     512 739,    79 297 665,    188 507 839,    268 318 243,    33 066 853,    301 385 096
,2009,     542 941,    72 530 170,    194 786 380,    267 859 491,    32 497 704,    300 357 195
,2010,     572 084,    83 500 083,    217 972 574,    302 044 742,    41 491 386,    343 536 128
,2011,     643 161,    111 644 057,    256 172 614,    368 459 831,    50 396 086,    418 855 917
,2012,     782 857,    123 896 019,    295 355 826,    420 034 701,    55 864 448,    475 899 149
,2013,     733 029,    146 258 262,    337 311 335,    484 302 626,    68 548 528,    552 851 154
,2014,     900 667,    166 397 951,    383 491 348,    550 789 966,    71 971 645,    622 761 611
,2015,     974 199,    191 436 847,    444 287 413,    636 698 459,    85 868 580,    722 567 040
,2016,     989 320,    217 265 088,    494 900 426,    713 154 834,    96 052 008,    809 206 842
,2017,     962 310,    262 856 158,    595 847 113,    859 665 581,    110 523 376,    970 188 957
,,,,,,,
Tekirdag,2004,     833 109,    3 507 192,    2 406 227,    6 746 527,     973 531,    7 720 058
,2005,     877 880,    4 052 363,    2 841 638,    7 771 881,    1 128 080,    8 899 961
,2006,     861 149,    4 705 857,    3 372 307,    8 939 313,    1 281 778,    10 221 091
,2007,     861 303,    5 575 864,    3 877 299,    10 314 465,    1 324 631,    11 639 097
,2008,     993 179,    6 414 731,    4 407 758,    11 815 668,    1 456 133,    13 271 801
,2009,     909 622,    6 265 292,    4 575 421,    11 750 335,    1 425 594,    13 175 929
,2010,    1 130 733,    7 417 183,    5 309 860,    13 857 776,    1 903 620,    15 761 396
,2011,    1 317 368,    9 635 112,    6 359 968,    17 312 448,    2 367 910,    19 680 358
,2012,    1 434 595,    10 603 422,    7 499 771,    19 537 788,    2 598 518,    22 136 307
,2013,    1 302 186,    12 747 141,    8 524 610,    22 573 938,    3 195 131,    25 769 068
,2014,    1 653 359,    14 927 815,    9 616 058,    26 197 232,    3 423 189,    29 620 421
,2015,    1 795 312,    16 946 204,    10 852 348,    29 593 865,    3 991 188,    33 585 052
,2016,    1 858 926,    19 271 788,    12 618 817,    33 749 531,    4 545 591,    38 295 122
,2017,    2 058 944,    24 366 057,    15 189 317,    41 614 318,    5 350 168,    46 964 486
,,,,,,,
Edirne,2004,     847 308,     459 886,    1 230 764,    2 537 957,     366 230,    2 904 187
,2005,     951 089,     535 909,    1 435 157,    2 922 156,     424 148,    3 346 303
,2006,     956 639,     615 287,    1 703 532,    3 275 458,     469 657,    3 745 115
,2007,    1 014 091,     752 778,    1 930 055,    3 696 924,     474 776,    4 171 701
,2008,    1 212 872,     855 159,    2 199 223,    4 267 254,     525 885,    4 793 139
,2009,    1 187 145,     829 479,    2 329 508,    4 346 132,     527 289,    4 873 421
,2010,    1 540 290,     976 447,    2 629 773,    5 146 510,     706 968,    5 853 478
,2011,    1 428 323,    1 257 818,    3 124 791,    5 810 932,     794 790,    6 605 722
,2012,    1 421 974,    1 437 685,    3 657 050,    6 516 709,     866 720,    7 383 429
,2013,    1 447 368,    1 640 904,    4 087 321,    7 175 593,    1 015 638,    8 191 231
,2014,    1 836 788,    1 839 077,    4 571 385,    8 247 250,    1 077 667,    9 324 917
,2015,    1 868 266,    2 100 715,    5 013 743,    8 982 724,    1 211 459,    10 194 183
,2016,    1 865 985,    2 322 947,    5 664 007,    9 852 938,    1 327 053,    11 179 992
,2017,    2 113 761,    2 644 811,    6 543 582,    11 302 154,    1 453 068,    12 755 222
,,,,,,,
Kirklareli,2004,     526 600,    1 062 350,     946 263,    2 535 213,     365 834,    2 901 047
,2005,     562 556,    1 249 638,    1 117 831,    2 930 026,     425 290,    3 355 315
,2006,     575 872,    1 436 997,    1 329 679,    3 342 549,     479 277,    3 821 826
,2007,     640 365,    1 720 124,    1 433 026,    3 793 515,     487 181,    4 280 696
,2008,     703 554,    1 999 327,    1 622 293,    4 325 174,     533 023,    4 858 198
,2009,     649 213,    1 911 780,    1 843 950,    4 404 943,     534 424,    4 939 367
,2010,     815 028,    2 264 072,    2 146 047,    5 225 148,     717 770,    5 942 918
,2011,     907 259,    2 661 644,    2 465 669,    6 034 572,     825 378,    6 859 950
